"comment_author","comment_date","comment_text"
"Carl Shepard","2023-02-16T19:04:03Z","I think getting off fossil fuel is a national security issue, I've thought that since the 1970s oil embargo. We give oil rich countries power over us.   Also, if we DON'T KNOW what will happen when the climate gets warmer...why take the chance?  Sticking you head in the sand seems like a foolish thing to do.  I think we do know though....methane is far worse than CO2 and the permafrost IS melting releasing it."
"Les Wallace","2023-02-13T22:16:37Z","The projected problems due to the ozone hole and acid rain NEVER MATERIALISED BECAUSE ACTION WAS TAKEN TO PREVENT IT!!! There have been serious issues re rapid population growth - was it an accident that the most densely populated country in Africa, Rwanda, was also the one where a genocide that killed over 750,000 people? Also as far as conspiracies and hidden agendas go that's the forte of the Cato Institute and its ilk."
"Jonathan O'Connor","2023-02-13T18:47:23Z","16,000 years ago no residual snow during summer at Chicago. 12,000 yrs ago a 2 mile high glacier over Chicago gouging out the Great Lakes. 7,000 yrs ago it was warm enough that there was a warm inland sea in Iceland. (Happy to provide a video with an Icelandic Glaciologist saying so). From 1300 to 1890 we were in the Little Ice Age. Since humans are responsible for Climate Change, what is the Industrial Activity we humans keep turning on and off?  (What kind of technology did we have 16,000 yrs ago when it was warm? Ans: Hunter/Gatherer. No sign of even simple agriculture... pre horse drawn plows, yet warm.) 

From Ice Core Samples 500 million yrs ago CO2 conc in the atmospehere was 4,000 ppm. Today it is 400 ppm. What were we humans doing 500 million yrs ago to make the CO2 *Ten Times* today's CO2 conc."
"J-PEZ","2023-02-13T17:28:05Z","Science isn't science if it tries to squash opposing points."
"June Duffy","2023-02-13T10:13:54Z","He built his house on the water/lake?????"
"Philip Morphew","2023-02-13T03:46:06Z","I agree with the 94%."
"Bill Lundquist Images, LTD","2023-02-12T18:45:00Z","Do you ever notice the Climate alarmists never refute the claims of the scientists that dis agree with them. They just jump up and down and yell ""climate denier, climate denier"" and hold their breath until they turn blue."
"richard carlin","2023-02-12T16:43:41Z","Climate change is real.  The main issue are the droughts now more frequently occurring in the US.  The biggest culprit is uncontrolled population growth."
"Patrick Bateman","2023-02-12T09:58:01Z","UPDATE: Microplastics are now in our blood and rain water is undrinkable in most parts of the world. Cheers stossel!"
"FuckOffShitTube","2023-02-11T17:03:00Z","I am so thankful for GOD's NATURAL changes on the Earth"
"allen heart","2023-02-11T05:16:47Z","There is no science supporting the left's claims of climate change. Blaming humans for ""global warming"" frequently fails to apply well-known solar particle forcing datasets. focusing on irradiance, never regarding Earth's weakening magnetic field & new info on paleoclimate. Nature Climate Change 11, 834-839 (2021) & Geophysical Research Letters (2022)

A huge discovery almost unnoticed, conclusively proves that extra CO2 leaking into the thermosphere has no effect on temp, with 99% of the variability accounted for by solar and geomagnetic activity. Logically, if CO2 is having no effect up there, it should not have any meaningful effect down here.

Journal of Atmospheric and Solar-Terrestrial Physics (2021)
Surviving the Micronova"
"Bryan Hill","2023-02-11T05:06:14Z","This is stupid and stupid people are keep saying it is not true but this guy is a ass a monkey would have done a better job a least it would have been entertaining"
"Empress Tarot by Gabby Turner","2023-02-11T04:25:55Z","for many years I thought something about this seemed suspicious, considering the most significant climate changes happened prior to the beginning of human civilization, but I tamped down my thoughts/feelings because I was afraid of looking stupid. Kudos to Judith Curry for seeing through a facade and being willing to risk her career to speak her truth."
"Sensei Kurt: International Body-Guard - Realtor in Sonoma County, CA","2023-02-10T18:50:45Z","Is CO2 Earth's Thermostat?  

Carbon dioxide has little or nothing to do with global warming. CO2 Is currently traced at 400 ppm. That is one carbon-dioxide molecule for every 2500 parts of the atmosphere. Humans contribute only a scant 16 ppm, which is 4% of the total CO2 accumulated in a year. CO2 only holds heat for a few seconds, and there is not enough of it to drive climate change. It is thermodynamically impossible! 
Also, bear in mind, that water vapor is the earth's most abundant and effective Greenhouse Gas. CO2 is only 5% of the earth's CHG. Water vapor is 95% of the earth's GHG and holds heat far longer than CO2.   
Lastly, CO2 will increase only after temperatures rise (eg. El Nino) and oceans degas. Conversely, CO2 levels drop as temperatures cool. In other words, CO2 levels are influenced by heat or the lack thereof and therefore do not drive climate but follow climate. 
Clearly, CO2 is actually a thermometer and not a thermostat!"
"Horse Jump Ride","2023-02-10T16:36:31Z","I didn't know John Stossel does not believe in the Son of God Jesus Christ who is God the Father.  Video timeline 2:04"
"Tinytox","2023-02-09T14:58:56Z","I like how we all pretend Climate Change isn't baked into our planets natural cycle.
We've had multiple multiple Ice Ages, but better freak out about the planet warming a Degree."
"Bad One","2023-02-08T10:29:51Z","For Millions of years, global warming did occur and it will happen again ""THE CIRCLE OF LIFE""."
"Wendy Kirby","2023-02-08T09:23:06Z","Climate change is bullshit!  It’s a way for elites to launder money."
